1	2	3	4	5	6	7	8	9	10	11
2019-06-11	"1,204.72"	"1,163.28"	"1,195.60"	"1,172.40"	"1,198.20"	"1,171.00"	"1,184.00"	4.50	4.26338	1.0000
2019-06-10	"1,200.14"	"1,158.86"	"1,191.00"	"1,168.00"	"1,193.65"	"1,166.61"	"1,179.50"	-0.30	4.26213	1.0000
2019-06-07	"1,200.44"	"1,159.16"	"1,191.30"	"1,168.30"	"1,193.95"	"1,166.91"	"1,179.80"	-1.70	4.26163	1.0000
2019-06-05	"1,202.17"	"1,160.83"	"1,193.00"	"1,170.00"	"1,195.67"	"1,168.60"	"1,181.50"	-1.50	4.27088	1.0000
2019-06-04	"1,203.70"	"1,162.30"	"1,194.50"	"1,171.50"	"1,197.19"	"1,170.10"	"1,183.00"	-8.20	4.27988	1.0000
2019-06-03	"1,212.04"	"1,170.36"	"1,202.80"	"1,179.60"	"1,205.49"	"1,178.19"	"1,191.20"	1.20	4.28050	1.0000
2019-05-31	"1,210.82"	"1,169.18"	"1,201.60"	"1,178.40"	"1,204.28"	"1,176.99"	"1,190.00"	-3.10	4.29000	1.0000
2019-05-30	"1,213.97"	"1,172.23"	"1,204.70"	"1,181.50"	"1,207.41"	"1,180.08"	"1,193.10"	5.50	4.28850	1.0000
2019-05-29	"1,208.38"	"1,166.82"	"1,199.20"	"1,176.00"	"1,201.85"	"1,174.59"	"1,187.60"	3.50	4.27938	1.0000
2019-05-28	"1,204.82"	"1,163.38"	"1,195.70"	"1,172.50"	"1,198.30"	"1,171.10"	"1,184.10"	-5.50	4.27813	1.0000
2019-05-27	"1,210.41"	"1,168.79"	"1,201.20"	"1,178.00"	"1,203.87"	"1,176.59"	"1,189.60"	-1.60	4.27813	1.0000
2019-05-24	"1,212.04"	"1,170.36"	"1,202.80"	"1,179.60"	"1,205.49"	"1,178.19"	"1,191.20"	-3.40	4.27975	1.0000
2019-05-23	"1,215.50"	"1,173.70"	"1,206.30"	"1,182.90"	"1,208.93"	"1,181.48"	"1,194.60"	1.30	4.28700	1.0000
2019-05-22	"1,214.18"	"1,172.42"	"1,204.90"	"1,181.70"	"1,207.61"	"1,180.29"	"1,193.30"	0.40	4.27963	1.0000
2019-05-21	"1,213.77"	"1,172.03"	"1,204.50"	"1,181.30"	"1,207.21"	"1,179.89"	"1,192.90"	0.20	4.28600	1.0000
2019-05-20	"1,213.57"	"1,171.83"	"1,204.30"	"1,181.10"	"1,207.01"	"1,179.68"	"1,192.70"	2.90	4.29188	1.0000
2019-05-17	"1,210.62"	"1,168.98"	"1,201.40"	"1,178.20"	"1,204.07"	"1,176.79"	"1,189.80"	0.40	4.29063	1.0000
2019-05-16	"1,210.21"	"1,168.59"	"1,201.00"	"1,177.80"	"1,203.67"	"1,176.39"	"1,189.40"	2.40	4.28238	1.0000
2019-05-15	"1,207.77"	"1,166.23"	"1,198.60"	"1,175.40"	"1,201.24"	"1,173.99"	"1,187.00"	3.90	4.28763	1.0000
2019-05-14	"1,203.80"	"1,162.40"	"1,194.60"	"1,171.60"	"1,197.29"	"1,170.20"	"1,183.10"	5.00	4.28963	1.0000
2019-05-13	"1,198.71"	"1,157.49"	"1,189.60"	"1,166.60"	"1,192.23"	"1,165.20"	"1,178.10"	2.30	4.29900	1.0000
2019-05-10	"1,196.37"	"1,155.23"	"1,187.30"	"1,164.30"	"1,189.90"	"1,162.90"	"1,175.80"	5.90	4.30338	1.0000
2019-05-09	"1,190.37"	"1,149.43"	"1,181.30"	"1,158.50"	"1,183.93"	"1,157.11"	"1,169.90"	0.10	4.30138	1.0000
2019-05-08	"1,190.27"	"1,149.33"	"1,181.20"	"1,158.40"	"1,183.83"	"1,157.00"	"1,169.80"	0.40	4.31275	1.0000
2019-05-07	"1,189.86"	"1,148.94"	"1,180.80"	"1,158.00"	"1,183.43"	"1,156.60"	"1,169.40"	5.50	4.31663	1.0000
2019-05-03	"1,184.26"	"1,143.54"	"1,175.30"	"1,152.50"	"1,177.86"	"1,151.11"	"1,163.90"	0.10	4.31713	1.0000
2019-05-02	"1,184.16"	"1,143.44"	"1,175.20"	"1,152.40"	"1,177.76"	"1,151.01"	"1,163.80"	5.60	4.33325	1.0000
2019-04-30	"1,178.46"	"1,137.94"	"1,169.50"	"1,146.90"	"1,172.09"	"1,145.51"	"1,158.20"	-1.50	4.33588	1.0000
2019-04-29	"1,179.99"	"1,139.41"	"1,171.00"	"1,148.40"	"1,173.61"	"1,147.01"	"1,159.70"	1.00	4.33313	1.0000
2019-04-26	"1,178.97"	"1,138.43"	"1,170.00"	"1,147.40"	"1,172.60"	"1,146.01"	"1,158.70"	11.80	4.32850	1.0000
2019-04-25	"1,166.97"	"1,126.83"	"1,158.10"	"1,135.70"	"1,160.66"	"1,134.33"	"1,146.90"	5.80	4.33338	1.0000
2019-04-24	"1,161.06"	"1,121.14"	"1,152.20"	"1,130.00"	"1,154.79"	"1,128.63"	"1,141.10"	0.30	4.32663	1.0000
2019-04-23	"1,160.76"	"1,120.84"	"1,151.90"	"1,129.70"	"1,154.48"	"1,128.33"	"1,140.80"	3.70	4.33088	1.0000
2019-04-22	"1,156.99"	"1,117.21"	"1,148.20"	"1,126.00"	"1,150.74"	"1,124.64"	"1,137.10"	0.90	4.33088	1.0000
2019-04-19	"1,156.08"	"1,116.32"	"1,147.30"	"1,125.10"	"1,149.83"	"1,123.74"	"1,136.20"	0.10	4.33088	1.0000
2019-04-18	"1,155.98"	"1,116.22"	"1,147.20"	"1,125.00"	"1,149.73"	"1,123.64"	"1,136.10"	0.40	4.33738	1.0000
2019-04-17	"1,155.57"	"1,115.83"	"1,146.80"	"1,124.60"	"1,149.32"	"1,123.24"	"1,135.70"	1.80	4.32975	1.0000
2019-04-16	"1,153.74"	"1,114.06"	"1,145.00"	"1,122.80"	"1,147.50"	"1,121.44"	"1,133.90"	-6.60	4.32388	1.0000
2019-04-15	"1,160.45"	"1,120.55"	"1,151.60"	"1,129.40"	"1,154.18"	"1,128.03"	"1,140.50"	1.30	4.32738	1.0000
2019-04-12	"1,159.13"	"1,119.27"	"1,150.30"	"1,128.10"	"1,152.87"	"1,126.74"	"1,139.20"	-2.00	4.32263	1.0000
2019-04-11	"1,161.17"	"1,121.23"	"1,152.30"	"1,130.10"	"1,154.89"	"1,128.73"	"1,141.20"	-1.60	4.33200	1.0000
2019-04-10	"1,162.79"	"1,122.81"	"1,153.90"	"1,131.70"	"1,156.51"	"1,130.33"	"1,142.80"	1.40	4.33400	1.0000
2019-04-09	"1,161.37"	"1,121.43"	"1,152.50"	"1,130.30"	"1,155.09"	"1,128.93"	"1,141.40"	5.00	4.33125	1.0000
2019-04-08	"1,156.28"	"1,116.52"	"1,147.50"	"1,125.30"	"1,150.03"	"1,123.94"	"1,136.40"	0.90	4.32163	1.0000
2019-04-05	"1,155.37"	"1,115.63"	"1,146.60"	"1,124.40"	"1,149.12"	"1,123.04"	"1,135.50"	0.60	4.32350	1.0000
2019-04-04	"1,154.76"	"1,115.04"	"1,146.00"	"1,123.80"	"1,148.51"	"1,122.44"	"1,134.90"	-0.90	4.32713	1.0000
